14100 22 25 20 21
14101 22 25 10 10
14102 22 20 23 1
14103 22 9 9 8
14104 22 25 16 13
14105 22 9 24 16
14106 22 10 15 1
14107 22 10 10 15
14108 22 7 19 11
14109 22 15 9 23
14110 10 12 22 0
14111 22 13 10 11
14112 22 21 15 7
14113 22 8 15 15
14114 22 12 12 22
14115 22 2 11 6
14116 22 13 23 10
14117 22 23 12 3
14118 22 19 13 9
14119 22 13 20 15
14120 22 19 5 17
14121 22 8 2 11
14122 25 12 22 0
14123 22 8 15 11
14124 22 14 3 18
14125 22 6 2 23
14126 22 19 9 20
14127 22 19 21 6
14128 22 22 9 4
14129 22 8 12 3
14130 22 25 14 22
14131 22 25 23 22
14132 22 20 23 21
14133 22 25 19 22
14134 22 14 18 9
14135 14 2 22 0
14136 20 10 22 0
14137 22 2 21 7
14138 22 8 21 3
14139 22 22 6 16
14140 22 23 23 13
14141 22 22 14 4
14142 14 4 15 12
14143 14 4 14 14
14144 23 25 14 4
14145 16 1 14 4
14146 14 4 17 12
14147 14 4 14 21
14148 25 4 16 21
14149 7 4 14 5
14150 14 4 7 18
14151 25 4 25 4
14152 22 6 4 4
14153 10 13 0 0
14154 10 5 0 0
14155 10 14 14 0
14156 10 14 15 0
14157 10 25 19 13
14158 10 9 14 15
14159 10 15 12 12
14160 10 3 9 0
14161 10 25 8 19
14162 10 10 18 0
14163 10 15 13 18
14164 10 25 3 11
14165 10 16 5 0
14166 10 14 9 14
14167 10 9 1 22
14168 10 25 13 18
14169 10 13 7 3
14170 10 14 11 13
14171 10 15 13 23
14172 10 20 1 0
14173 10 4 4 0
14174 10 13 12 13
14175 10 13 2 21
14176 10 1 25 3
14177 10 19 10 5
14178 10 8 12 2
14179 10 17 8 11
14180 10 20 20 2
14181 10 22 13 4
14182 10 15 7 19
14183 10 22 15 7
14184 10 7 18 22
14185 10 9 12 5
14186 10 7 10 9
14187 10 14 12 13
14188 10 18 17 15
14189 10 16 1 13
14190 10 21 6 5
14191 10 8 11 2
14192 10 8 21 19
14193 10 22 13 14
14194 10 22 13 2
14195 4 9 0 0
14196 13 21 4 9
14197 1 13 4 9
14198 23 12 8 9
14199 19 13 9 9
14200 6 8 1 21
14201 6 8 1 9
14202 20 3 6 8
14203 20 13 6 8
14204 11 21 13 4
14205 11 14 5 0
14206 11 14 11 13
14207 11 14 4 5
14208 11 14 11 6
14209 11 14 1 16
14210 11 14 2 22
14211 3 18 9 21
14212 11 14 11 21
14213 11 14 23 4
