14114 22 12 22 7
14115 22 17 4 15
14116 22 19 10 8
14117 22 12 13 25
14118 22 22 1 6
14119 22 4 21 23
14120 22 14 9 8
14121 22 20 13 4
14122 21 19 18 22
14123 22 20 13 20
14124 22 17 4 25
14125 22 9 16 12
14126 22 1 8 12
14127 22 1 8 15
14128 22 24 18 19
14129 22 18 18 13
14130 22 25 14 25
14131 22 25 12 5
14132 22 1 12 8
14133 22 25 3 5
14134 22 17 11 25
14135 24 7 23 22
14136 1 23 14 22
14137 22 8 8 25
14138 22 20 6 13
14139 22 24 25 14
14140 22 12 12 7
14141 22 2 6 0
14142 2 23 10 8
14143 2 3 2 8
14144 24 7 21 2
14145 17 10 2 6
14146 2 18 18 8
14147 2 17 11 17
14148 25 2 7 14
14149 6 16 7 3
14150 2 6 11 11
14151 25 2 25 2
14152 24 25 24 2
14153 16 7 6 0
14154 16 3 21 0
14155 16 2 10 0
14156 16 17 25 21
14157 16 7 14 7
14158 16 16 21 0
14159 16 23 10 10
14160 16 23 3 21
14161 16 25 2 0
14162 16 4 6 26
14163 16 23 7 11
14164 16 21 17 21
14165 16 14 3 21
14166 16 17 17 21
14167 16 25 22 5
14168 16 25 6 0
14169 16 7 7 23
14170 16 20 8 16
14171 16 23 7 23
14172 16 1 10 6
14173 16 19 19 21
14174 16 7 6 7
14175 16 7 8 17
14176 16 10 21 21
14177 16 2 3 21
14178 16 20 11 25
14179 16 4 8 4
14180 16 6 10 6
14181 16 14 8 15
14182 16 23 25 5
14183 16 22 23 6
14184 16 6 11 5
14185 16 25 22 9
14186 16 6 21 25
14187 16 2 20 7
14188 16 4 8 23
14189 16 14 10 7
14190 16 2 13 3
14191 16 20 4 11
14192 16 20 8 25
14193 16 14 8 17
14194 16 14 8 8
14195 7 14 9 0
14196 6 17 6 9
14197 10 7 6 21
14198 12 17 6 21
14199 22 1 22 6
14200 9 18 17 2
14201 9 20 17 25
14202 21 22 15 20
14203 1 11 7 20
14204 4 14 7 6
14205 4 14 9 9
14206 4 14 4 1
14207 4 14 8 3
14208 4 14 4 15
14209 4 14 10 24
14210 4 14 5 22
14211 23 23 11 14
14212 4 14 4 14
14213 4 14 10 19
14214 4 14 4 11
14215 4 14 12 5
14216 4 14 25 1
14217 4 14 21 1
14218 2 13 6 14
14219 14 3 9 0
14220 14 2 4 0
14221 14 22 25 9
14222 14 3 22 0
14223 14 20 16 9
14224 14 21 4 26
14225 14 6 6 14
14226 14 20 8 4
14227 14 24 10 4
14228 14 17 17 9
14229 14 23 5 4
14230 14 7 13 9
14231 14 6 9 25
14232 14 5 25 9
14233 14 20 6 9
14234 14 20 6 22
14235 14 20 24 10
14236 14 20 20 22
14237 4 8 9 14
14238 14 20 23 8
14239 14 21 19 4
14240 14 4 21 9
14241 14 1 1 5
14242 2 8 7 4
14243 2 8 23 22
14244 13 23 21 0
14245 13 20 25 21
14246 13 13 14 0
14247 13 5 2 0
14248 13 2 7 0
14249 13 13 25 21
14250 22 13 10 0
14251 13 16 21 0
14252 13 1 6 0
14253 4 13 10 0
14254 13 17 25 21
14255 14 13 10 0
14256 13 20 6 8
14257 13 10 6 0
14258 13 11 8 8
14259 13 21 6 8
14260 13 17 1 14
14261 13 25 21 0
14262 13 25 25 0
14263 2 8 7 6
14264 13 7 9 21
14265 13 19 11 7
14266 13 20 4 21
14267 13 11 7 14
14268 2 9 13 10
14269 13 1 14 20
14270 13 14 24 14
14271 13 6 17 21
14272 20 13 10 26
14273 13 4 6 8
14274 13 24 7 21
14275 13 14 7 11
14276 13 21 4 8
14277 13 17 2 17
14278 13 23 24 6
14279 13 23 23 6
14280 13 6 9 25
14281 13 16 18 8
14282 13 5 2 7
14283 13 21 11 17
14284 13 4 14 5
14285 13 25 22 5
14286 13 5 22 7
14287 13 23 25 11
14288 13 1 25 14
14289 13 6 16 2
14290 13 22 20 11
14291 13 17 4 8
14292 13 23 25 11
14293 13 11 21 6
14294 13 7 1 10
14295 23 22 23 13
14296 13 13 6 11
14297 13 1 10 7
14298 19 6 3 13
14299 13 18 1 6
14300 13 24 17 9
14301 13 21 11 7
14302 13 1 1 20
14303 13 1 23 2
14304 13 13 21 13
14305 13 21 4 2
14306 13 4 19 11
14307 13 19 23 3
14308 13 22 9 21
14309 13 3 4 5
14310 13 16 12 10
14311 13 11 11 14
14312 13 13 4 10
14313 14 1 20 13
14314 13 12 7 5
14315 13 18 9 25
14316 13 22 8 3
14317 13 14 1 10
14318 13 16 23 4
14319 13 16 20 11
14320 13 16 10 21
14321 13 21 7 15
14322 13 4 18 9
14323 13 19 19 25
14324 13 18 17 3
14325 13 12 7 8
14326 13 4 18 9
14327 13 1 23 11
14328 13 18 4 6
14329 13 2 17 2
14330 13 12 22 6
14331 12 18 13 10
14332 13 7 17 20
14333 13 19 6 9
14334 13 25 22 8
14335 13 1 4 1
14336 23 22 7 13
14337 13 3 3 5
14338 13 7 17 20
14339 13 21 13 4
14340 13 14 18 6
14341 13 20 20 20
14342 13 11 11 6
14343 13 25 9 14
14344 13 21 7 7
14345 13 21 10 6
14346 13 8 1 7
14347 13 11 11 14
14348 13 1 4 23
14349 13 23 25 19
14350 13 23 25 19
14351 13 1 7 6
14352 13 20 4 11
14353 13 12 4 4
14354 13 19 6 10
14355 13 1 16 5
14356 13 14 11 21
14357 13 2 18 3
14358 13 21 7 20
14359 13 20 13 4
14360 13 22 7 23
14361 13 25 16 5
14362 13 15 7 6
14363 13 1 23 3
14364 13 24 20 8
14365 13 6 23 13
14366 20 13 7 13
14367 13 20 17 9
14368 13 8 1 12
14369 13 25 3 5
14370 13 18 17 5
14371 13 4 20 8
14372 13 25 11 5
14373 13 12 12 6
14374 13 4 8 21
14375 13 25 19 4
14376 13 19 17 6
14377 23 14 17 2
14378 7 8 4 26
14379 1 13 25 23
14380 1 11 6 23
14381 1 1 1 1
14382 21 15 7 1
14383 14 8 14 4
14384 12 11 14 2
14385 14 1 4 23
14386 13 8 24 14
14387 20 25 13 8
14388 13 8 22 25
14389 25 14 13 8
14390 13 8 20 13
14391 13 8 5 25
14392 13 8 6 23
14393 13 8 23 10
14394 13 8 9 20
14395 6 20 13 8
14396 13 8 18 8
14397 13 8 20 21
14398 17 2 13 8
14399 8 24 13 8
14400 21 13 9 9
14401 13 8 4 14
14402 7 17 10 8
14403 13 8 23 17
14404 13 8 17 10
14405 13 8 17 17
14406 13 8 25 17
14407 13 8 2 14
14408 13 8 17 17
14409 13 8 24 24
14410 13 8 17 22
14411 13 8 4 14
14412 13 8 10 5
14413 18 4 13 8
14414 13 8 3 5
14415 13 8 23 10
14416 13 8 21 10
14417 20 15 13 8
14418 13 8 18 8
14419 13 8 16 12
14420 3 2 20 8
14421 13 8 1 4
14422 13 8 20 6
14423 13 8 18 13
14424 13 8 21 15
14425 13 8 20 24
14426 13 8 6 6
14427 13 8 1 17
14428 13 8 23 9
14429 13 8 20 16
14430 13 8 12 22
14431 13 8 7 10
14432 13 8 23 21
14433 13 8 4 6
14434 13 8 10 14
